country,city,cityLabel,population,mayor,mayorLabel,genderLabel,birth,age,start_date,duration,birth_country,birth_countryLabel,birth_city,birth_cityLabel,city_lon,city_lat,birth_city_lon,birth_city_lat,distance
Germany,http://www.wikidata.org/entity/Q715,Heilbronn,123771.0,http://www.wikidata.org/entity/Q15858419,Harry Mergel,male,1956-02-11,62.0,2014-05-05,4,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q715,Heilbronn,9.216666666,49.15,9.216666666,49.15,0.0
Germany,http://www.wikidata.org/entity/Q2938,Leverkusen,163113.0,http://www.wikidata.org/entity/Q23041796,Uwe Richrath,male,1961-01-01,57.0,2015-10-21,3,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2938,Leverkusen,6.983333333,51.033333333,6.983333333,51.033333333,0.0
Germany,http://www.wikidata.org/entity/Q3085,Reutlingen,115006.0,http://www.wikidata.org/entity/Q123864,Barbara Bosch,female,1958-09-05,60.0,2003-02-23,15,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1022,Stuttgart,9.216666666,48.483333333,9.1775,48.776111111,32685.392983741927
Germany,http://www.wikidata.org/entity/Q3963,Fulda,65540.0,http://www.wikidata.org/entity/Q24574588,Q24574588,male,1973-10-04,45.0,2015-03-15,3,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q3963,Fulda,9.6775,50.552777777,9.6775,50.552777777,0.0
Germany,http://www.wikidata.org/entity/Q3042,Offenbach am Main,124589.0,http://www.wikidata.org/entity/Q40906565,Felix Schwenke,male,1979-05-27,39.0,2018-01-21,0,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1794,Frankfurt,8.766666666,50.1,8.679722222,50.113611111,6401.338044356808
Germany,http://www.wikidata.org/entity/Q522492,Arnis,273.0,http://www.wikidata.org/entity/Q19329204,Bernd Kugler,male,,,2008-01-01,10,,,,,9.931388888,54.63,,,
Germany,http://www.wikidata.org/entity/Q64,Berlin,3574830.0,http://www.wikidata.org/entity/Q102844,Michael Müller,male,1964-12-09,54.0,2014-12-11,4,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q64,Berlin,13.383333333,52.516666666,13.383333333,52.516666666,0.0
Germany,http://www.wikidata.org/entity/Q3012,Ulm,123953.0,http://www.wikidata.org/entity/Q20770017,Gunter Czisch,male,1963-04-01,55.0,2016-01-01,2,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1022,Stuttgart,9.99155,48.39841,9.1775,48.776111111,73285.23252257184
Germany,http://www.wikidata.org/entity/Q6837,Lutherstadt Wittenberg,46475.0,http://www.wikidata.org/entity/Q41795233,Q41795233,male,1972-03-24,46.0,2015-01-01,3,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q6837,Lutherstadt Wittenberg,12.649722222,51.865833333,12.649722222,51.865833333,0.0
Germany,http://www.wikidata.org/entity/Q586,Bonn,327919.0,http://www.wikidata.org/entity/Q20971243,Ashok-Alexander Sridharan,male,1965-06-15,53.0,2015-10-21,3,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q586,Bonn,7.099722222,50.733888888,7.099722222,50.733888888,0.0
